"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 04 14:56:56 MSK 2023","Sun Jun 04 14:56:56 MSK 2023","81","","Articles","","Users.nikitafilonov.Documents.GitHub.sample_go_grpc_testing.tests.articles_test","TestDeleteArticle","Delete article","TestDeleteArticle"
"passed","Sun Jun 04 14:56:56 MSK 2023","Sun Jun 04 14:56:56 MSK 2023","79","","Articles","","Users.nikitafilonov.Documents.GitHub.sample_go_grpc_testing.tests.articles_test","TestCreateArticle","Create article","TestCreateArticle"
"passed","Sun Jun 04 14:56:56 MSK 2023","Sun Jun 04 14:56:56 MSK 2023","80","","Articles","","Users.nikitafilonov.Documents.GitHub.sample_go_grpc_testing.tests.articles_test","TestUpdateArticle","Update article","TestUpdateArticle"
"passed","Sun Jun 04 14:56:56 MSK 2023","Sun Jun 04 14:56:56 MSK 2023","85","","Articles","","Users.nikitafilonov.Documents.GitHub.sample_go_grpc_testing.tests.articles_test","TestGetArticle","Get article","TestGetArticle"
